,row,col,replicate,ident,grid_name,name1,name2,name3,hmdb_id1,hmdb_id2,hmdb_id3
18_8,18,8,1,E3,18_8,Tauroursodeoxycholic acid,,,HMDB0000874,,
19_0,19,0,1,E4,19_0,L-Valine,,,HMDB0000883,,
19_1,19,1,1,E5,19_1,L-Glutamine,,,HMDB0000641,,
19_2,19,2,1,E6,19_2,Taurodeoxycholic acid,,,HMDB0000896,,
19_3,19,3,1,E47,19_3,L-Valine,5-Aminopentanoic acid,,HMDB0000883,HMDB0003355,
19_4,19,4,1,E58,19_4,L-Glutamine,Ureidoisobutyric acid,,HMDB0000641,HMDB0002031,
19_5,19,5,1,E69,19_5,Taurodeoxycholic acid,Taurochenodesoxycholic acid,,HMDB0000896,HMDB0000951,
19_6,19,6,1,E7,19_6,5-Aminopentanoic acid,,,HMDB0003355,,
19_7,19,7,1,E8,19_7,Ureidoisobutyric acid,,,HMDB0002031,,
19_8,19,8,1,E9,19_8,Taurochenodesoxycholic acid,,,HMDB0000951,,
